"symbol","company","identifier","sedol","weight","sector","shares_held","local_currency","group"
"DTE","DTE ENERGY COMPANY","233331107","2280220",0.000559029958344223,"-",2461442,"USD",6
"AXON","AXON ENTERPRISE INC","05464C101","BDT5S35",0.000559029958344223,"-",841800,"USD",6
"EQR","EQUITY RESIDENTIAL","29476L107","2319157",0.00055877980174369,"-",4082672,"USD",6
"HAL","HALLIBURTON CO","406216101","2405302",0.000557599062589171,"-",10668022,"USD",6
"KEYS","KEYSIGHT TECHNOLOGIES IN","49338L103","BQZJ0Q9",0.000553656594564763,"-",2083386,"USD",6
"FTV","FORTIVE CORP","34959J108","BYT3MK1",0.000552986174875334,"-",4196203,"USD",6
"MRNA","MODERNA INC","60770K107","BGSXTS3",0.000551735391872666,"-",3951759,"USD",6
"STT","STATE STREET CORP","857477103","2842040",0.000549053713114947,"-",3601164,"USD",6
"DOV","DOVER CORP","260003108","2278407",0.000544140637480469,"-",1669046,"USD",6
"BR","BROADRIDGE FINANCIAL SOLUTIO","11133T103","B1VP7R6",0.000539107486677735,"-",1404281,"USD",6
"TTWO","TAKE TWO INTERACTIVE SOFTWRE","874054109","2122117",0.000537636565866598,"-",1887216,"USD",6
"TYL","TYLER TECHNOLOGIES INC","902252105","2909644",0.000534784780620516,"-",498214,"USD",6
"BRO","BROWN + BROWN INC","115236101","2692687",0.000532093095598776,"-",2814957,"USD",6
"VST","VISTRA CORP","92840M102","BZ8VJQ8",0.000531922989110413,"-",3894253,"USD",6
"STE","STERIS PLC","G8473T100","BFY8C75",0.000527550251733087,"-",1179121,"USD",6
"LYB","LYONDELLBASELL INDU CL A","N53745100","B3SPXZ3",0.000524188147021917,"-",3034672,"USD",6
"ES","EVERSOURCE ENERGY","30040W108","BVVN4Q8",0.000517543987711747,"-",4172530,"USD",6
"NTAP","NETAPP INC","64110D104","2630643",0.000515932979204312,"-",2470298,"USD",6
"PPL","PPL CORP","69351T106","2680905",0.000514161870472535,"-",8766472,"USD",6
"TROW","T ROWE PRICE GROUP INC","74144T108","2702337",0.000502664673112015,"-",2663889,"USD",6
"FE","FIRSTENERGY CORP","337932107","2100920",0.000499882931714082,"-",6166594,"USD",6
"DECK","DECKERS OUTDOOR CORP","243537107","2267278",0.000498842280255863,"-",306145,"USD",6
"HPE","HEWLETT PACKARD ENTERPRISE","42824C109","BYVYWS0",0.000490887300358898,"-",15304241,"USD",6
"WST","WEST PHARMACEUTICAL SERVICES","955306105","2950482",0.000485343830091075,"-",881754,"USD",6
"CBOE","CBOE GLOBAL MARKETS INC","12503M108","B5834C5",0.000484713435457731,"-",1258475,"USD",6
"WY","WEYERHAEUSER CO","962166104","2958936",0.000480640886001046,"-",8712647,"USD",6
"RJF","RAYMOND JAMES FINANCIAL INC","754730109","2718992",0.000478189351315817,"-",2245530,"USD",6
"FSLR","FIRST SOLAR INC","336433107","B1HMF22",0.0004777590819629,"-",1276556,"USD",6
"AEE","AMEREN CORPORATION","023608102","2050832",0.000477258768761833,"-",3095864,"USD",6
"ZBH","ZIMMER BIOMET HOLDINGS INC","98956P102","2783815",0.000476628374128488,"-",2494796,"USD",6
"CPAY","CORPAY INC","219948106","BMX5GK7",0.000469483901617251,"-",838035,"USD",6
"CINF","CINCINNATI FINANCIAL CORP","172062101","2196888",0.000469483901617251,"-",1873933,"USD",6
"GDDY","GODADDY INC   CLASS A","380237107","BWFRFC6",0.000468243124878605,"-",1680716,"USD",6
"COO","COOPER COS INC/THE","216648501","BQPDXR3",0.000465081145447862,"-",2362279,"USD",6
"K","KELLANOVA","487836108","2486813",0.000460248119925555,"-",3150113,"USD",6
"HBAN","HUNTINGTON BANCSHARES INC","446150104","2445966",0.000457246240719153,"-",17114296,"USD",6
"RF","REGIONS FINANCIAL CORP","7591EP100","B01R311",0.000455515157043461,"-",11084206,"USD",6
"LDOS","LEIDOS HOLDINGS INC","525327102","BDV82B8",0.000454564561961434,"-",1625354,"USD",6
"MKC","MCCORMICK + CO NON VTG SHRS","579780206","2550161",0.000454524536905348,"-",2996162,"USD",6
"SMCI","SUPER MICRO COMPUTER INC","86800U104","B1VQR35",0.000448660866188843,"-",600645,"USD",6
"INVH","INVITATION HOMES INC","46187W107","BD81GW9",0.000446899763721087,"-",6870742,"USD",6
"CLX","CLOROX COMPANY","189054109","2204026",0.000445598949398313,"-",1480044,"USD",6
"BLDR","BUILDERS FIRSTSOURCE INC","12008R107","B0BV2M7",0.00044527874894963,"-",1470447,"USD",6
"HUBB","HUBBELL INC","443510607","BDFG6S3",0.000440535779803515,"-",639292,"USD",6
"CMS","CMS ENERGY CORP","125896100","2219224",0.000439595190985509,"-",3489703,"USD",6
"EL","ESTEE LAUDER COMPANIES CL A","518439104","2320524",0.000439445097025189,"-",2774467,"USD",6
"BALL","BALL CORP","058498106","2073022",0.000438564545791311,"-",3743115,"USD",7
"WDC","WESTERN DIGITAL CORP","958102105","2954699",0.000436543280459,"-",3825864,"USD",7
"PTC","PTC INC","69370C100","B95N910",0.000434421952486476,"-",1420560,"USD",7
"TDY","TELEDYNE TECHNOLOGIES INC","879360105","2503477",0.000434081739509751,"-",561417,"USD",7
"ATO","ATMOS ENERGY CORP","049560105","2315359",0.000432700875074806,"-",1774494,"USD",7
"BAX","BAXTER INTERNATIONAL INC","071813109","2085102",0.000432160536817653,"-",6044639,"USD",7
"SYF","SYNCHRONY FINANCIAL","87165B103","BP96PS6",0.000428678356938227,"-",4883094,"USD",7
"WAT","WATERS CORP","941848103","2937689",0.000427287486239261,"-",705986,"USD",7
"STX","SEAGATE TECHNOLOGY HOLDINGS","G7997R103","BKVD2N4",0.000425656465203782,"-",2304734,"USD",7
"OMC","OMNICOM GROUP","681919106","2279303",0.000425286233434993,"-",2359575,"USD",7
"HOLX","HOLOGIC INC","436440101","2433530",0.000421924128723822,"-",2799790,"USD",7
"CFG","CITIZENS FINANCIAL GROUP","174610105","BQRX1X3",0.000419532631622722,"-",5553739,"USD",7
"ESS","ESSEX PROPERTY TRUST INC","297178105","2316619",0.000419042324685676,"-",766323,"USD",7
"LH","LABCORP HOLDINGS INC","504922105","BSBK800",0.000418532005220588,"-",1012093,"USD",7
"GPC","GENUINE PARTS CO","372460105","2367480",0.000416670840112619,"-",1673595,"USD",7
"TER","TERADYNE INC","880770102","2884183",0.000413078591328958,"-",1824947,"USD",7
"BBY","BEST BUY CO INC","086516101","2094670",0.000411867833382376,"-",2303968,"USD",7
"EQT","EQT CORP","26884L109","2319414",0.000410316862459068,"-",7055648,"USD",7
"DRI","DARDEN RESTAURANTS INC","237194105","2289874",0.000409696474089745,"-",1434533,"USD",7
"MOH","MOLINA HEALTHCARE INC","60855R100","2212706",0.000409446317489211,"-",694011,"USD",7
"TSN","TYSON FOODS INC CL A","902494103","2909730",0.000408555759991312,"-",3407973,"USD",7
"APTV","APTIV PLC","G6095L109","B783TY6",0.0004083156096548,"-",3243289,"USD",7
"ULTA","ULTA BEAUTY INC","90384S303","B28TS42",0.000405583899576974,"-",583241,"USD",7
"MAA","MID AMERICA APARTMENT COMM","59522J103","2589132",0.000404072953709752,"-",1383170,"USD",7
"ARE","ALEXANDRIA REAL ESTATE EQUIT","015271109","2009210",0.000401061068239328,"-",1861036,"USD",7
"PKG","PACKAGING CORP OF AMERICA","695156109","2504566",0.000398329358161503,"-",1068623,"USD",7
"J","JACOBS SOLUTIONS INC","46982L108","BNGC0D3",0.000396208030188979,"-",1504115,"USD",7
"NTRS","NORTHERN TRUST CORP","665859104","2648668",0.000395337485219122,"-",2471781,"USD",7
"WRB","WR BERKLEY CORP","084423102","2093644",0.000394516971569372,"-",3645589,"USD",7
"DG","DOLLAR GENERAL CORP","256677105","B5B1S13",0.000386321841335895,"-",2617643,"USD",7
"AVY","AVERY DENNISON CORP","053611109","2066408",0.000385421277573974,"-",963123,"USD",7
"LUV","SOUTHWEST AIRLINES CO","844741108","2831543",0.000384780876676608,"-",7101785,"USD",7
"PFG","PRINCIPAL FINANCIAL GROUP","74251V102","2803014",0.000377306197452667,"-",2613691,"USD",7
"CNP","CENTERPOINT ENERGY INC","15189T107","2440637",0.000376745846667472,"-",7541922,"USD",7
"EXPD","EXPEDITORS INTL WASH INC","302130109","2325507",0.000376115452034128,"-",1684291,"USD",7
"DGX","QUEST DIAGNOSTICS INC","74834L100","2702791",0.000373934086477476,"-",1329836,"USD",7
"CTRA","COTERRA ENERGY INC","127097103","2162340",0.000372553222042531,"-",8966076,"USD",7
"TXT","TEXTRON INC","883203101","2885937",0.0003696313929483,"-",2334521,"USD",7
"MAS","MASCO CORP","574599106","2570200",0.000369441273931894,"-",2621774,"USD",7
"EXPE","EXPEDIA GROUP INC","30212P303","B748CK2",0.000366409375933428,"-",1513262,"USD",7
"ZBRA","ZEBRA TECHNOLOGIES CORP CL A","989207105","2989356",0.000365628887339764,"-",611792,"USD",7
"EG","EVEREST GROUP LTD","G3223R108","2556868",0.000363077290014322,"-",514767,"USD",7
"IP","INTERNATIONAL PAPER CO","460146103","2465254",0.000358354333396249,"-",4130063,"USD",7
"STLD","STEEL DYNAMICS INC","858119100","2849472",0.000355472529358103,"-",1761328,"USD",7
"FDS","FACTSET RESEARCH SYSTEMS INC","303075105","2329770",0.000354181721299351,"-",453116,"USD",7
"NRG","NRG ENERGY INC","629377508","2212922",0.000353000982144832,"-",2485853,"USD",7
"WBD","WARNER BROS DISCOVERY INC","934423104","BM8JYX3",0.000352140443438997,"-",26468994,"USD",7
"VRSN","VERISIGN INC","92343E102","2142922",0.000350849635380244,"-",1058003,"USD",7
"CCL","CARNIVAL CORP","143658300","2523044",0.000350689535155903,"-",12004031,"USD",7
"AMCR","AMCOR PLC","G0250X107","BJ1F307",0.000348628244767507,"-",17233661,"USD",7
"UAL","UNITED AIRLINES HOLDINGS INC","910047109","B4QG225",0.000347297411652669,"-",3909005,"USD",8
"SWKS","SKYWORKS SOLUTIONS INC","83088M102","2961053",0.00034633681030662,"-",1903991,"USD",8
"ALGN","ALIGN TECHNOLOGY INC","016255101","2679204",0.000343014730651535,"-",850192,"USD",8
"DOC","HEALTHPEAK PROPERTIES INC","42250P103","BJBLRK3",0.000340232989253603,"-",8436166,"USD",8
"CAG","CONAGRA BRANDS INC","205887102","2215460",0.00033939246307581,"-",5672514,"USD",8
"KIM","KIMCO REALTY CORP","49446R109","2491594",0.000337361191479478,"-",7948273,"USD",8
"PODD","INSULET CORP","45784P101","B1XGNW4",0.000333078510478345,"-",834044,"USD",8
"KEY","KEYCORP","493267108","2490911",0.000329646361919025,"-",11179381,"USD",8
"MRO","MARATHON OIL CORP","565849106","2910970",0.000326394326112089,"-",6725449,"USD",8
"NI","NISOURCE INC","65473P105","2645409",0.000325833975326894,"-",5344979,"USD",8
"LNT","ALLIANT ENERGY CORP","018802108","2973821",0.000324823342660739,"-",3008205,"USD",8
"IEX","IDEX CORP","45167R104","2456612",0.000322521901935831,"-",897557,"USD",8
"SWK","STANLEY BLACK + DECKER INC","854502101","B3Q2FJ4",0.000321801450926294,"-",1835714,"USD",8
"LVS","LAS VEGAS SANDS CORP","517834107","B02T2J7",0.000321111018708822,"-",4404870,"USD",8
"L","LOEWS CORP","540424108","2523022",0.000320160423626795,"-",2182824,"USD",8
"SNA","SNAP ON INC","833034101","2818740",0.000318829590511956,"-",631527,"USD",8
"DPZ","DOMINO S PIZZA INC","25754A201","B01SD70",0.000318569427647402,"-",416041,"USD",8
"RVTY","REVVITY INC","714046109","2305844",0.00031847937127121,"-",1471471,"USD",8
"GEN","GEN DIGITAL INC","668771108","BJN4XN5",0.000314907135015591,"-",6718149,"USD",8
"BG","BUNGE GLOBAL SA","H11356104","BQ6BPG9",0.00031198530592136,"-",1730612,"USD",8
"AKAM","AKAMAI TECHNOLOGIES INC","00971T101","2507457",0.000311785180640933,"-",1799515,"USD",8
"CF","CF INDUSTRIES HOLDINGS INC","125269100","B0G4K50",0.000311585055360506,"-",2178830,"USD",8
"PNR","PENTAIR PLC","G7S00T104","BLS09M3",0.000308663226266275,"-",1957555,"USD",8
"ENPH","ENPHASE ENERGY INC","29355A107","B65SQW4",0.000305651340795852,"-",1627642,"USD",8
"DLTR","DOLLAR TREE INC","256746108","2272476",0.000305010939898486,"-",2482394,"USD",8
"JBHT","HUNT (JB) TRANSPRT SVCS INC","445658107","2445416",0.000304460595377312,"-",972752,"USD",8
"ROL","ROLLINS INC","775711104","2747305",0.000302919630718026,"-",3347087,"USD",8
"EVRG","EVERGY INC","30034W106","BFMXGR0",0.000302689486645535,"-",2748011,"USD",8
"UHS","UNIVERSAL HEALTH SERVICES B","913903100","2923785",0.000299957776567709,"-",726627,"USD",8
"UDR","UDR INC","902653104","2727910",0.000293773905402521,"-",3620805,"USD",8
"TRMB","TRIMBLE INC","896239100","2903958",0.000293573780122094,"-",2966053,"USD",8
"LYV","LIVE NATION ENTERTAINMENT IN","538034109","B0T7YX2",0.000292312990855405,"-",1691955,"USD",8
"POOL","POOL CORP","73278L105","2781585",0.000291262333133165,"-",461272,"USD",8
"VTRS","VIATRIS INC","92556V106","BMWS3X9",0.000290581907179714,"-",14325707,"USD",8
"NDSN","NORDSON CORP","655663102","2641838",0.000289791412322028,"-",642840,"USD",8
"CPT","CAMDEN PROPERTY TRUST","133131102","2166320",0.000281926488801254,"-",1275129,"USD",8
"KMX","CARMAX INC","143130102","2983563",0.000277663820328164,"-",1889617,"USD",8
"JKHY","JACK HENRY + ASSOCIATES INC","426281101","2469193",0.000272740738429664,"-",870606,"USD",8
"JBL","JABIL INC","466313103","2471789",0.000269118470853939,"-",1438156,"USD",8
"SJM","JM SMUCKER CO/THE","832696405","2951452",0.0002679277254354,"-",1223294,"USD",8
"REG","REGENCY CENTERS CORP","758849103","2726177",0.00026650683594437,"-",1964455,"USD",8
"JNPR","JUNIPER NETWORKS INC","48203R104","2431846",0.000265856428782982,"-",3804863,"USD",8
"CE","CELANESE CORP","150870103","B05MZT4",0.00026068319028395,"-",1188428,"USD",8
"IPG","INTERPUBLIC GROUP OF COS INC","460690100","2466321",0.000258972119136301,"-",4575077,"USD",8
"FFIV","F5 INC","315616102","2427599",0.000258021524054273,"-",708145,"USD",8
"HST","HOST HOTELS + RESORTS INC","44107P104","2567503",0.000257070928972246,"-",8411154,"USD",8
"ALLE","ALLEGION PLC","G0176J109","BFRT3W7",0.00025688080995584,"-",1047511,"USD",8
"EPAM","EPAM SYSTEMS INC","29414B104","B44Z3T8",0.000256700697203456,"-",683374,"USD",8
"CHRW","C.H. ROBINSON WORLDWIDE INC","12541W209","2116228",0.000256180371474347,"-",1390829,"USD",8
"EMN","EASTMAN CHEMICAL CO","277432100","2298386",0.000252838279291219,"-",1415521,"USD",8
"TFX","TELEFLEX INC","879369106","2881407",0.0002509070703351,"-",561848,"USD",9
"TECH","BIO TECHNE CORP","09073M104","BSHZ3Q0",0.000247384865399589,"-",1882937,"USD",9
"AES","AES CORP","00130H105","2002479",0.000236758213008926,"-",8019398,"USD",9
"CTLT","CATALENT INC","148806102","BP96PQ4",0.000235417373630066,"-",2156170,"USD",9
"LKQ","LKQ CORP","501889208","2971029",0.000232885788832667,"-",3196231,"USD",9
"HII","HUNTINGTON INGALLS INDUSTRIE","446413106","B40SSC9",0.000231354830437402,"-",474135,"USD",9
"BXP","BXP INC","101121101","2019479",0.000227552450109293,"-",1680461,"USD",9
"TAP","MOLSON COORS BEVERAGE CO   B","60871R209","B067BM3",0.00022581136016958,"-",2214934,"USD",9
"QRVO","QORVO INC","74736K101","BR9YYP4",0.000223209731524031,"-",1163485,"USD",9
"CPB","CAMPBELL SOUP CO","134429109","2162845",0.00022170879192083,"-",2351266,"USD",9
"AIZ","ASSURANT INC","04621X108","2331430",0.000220848253214995,"-",627048,"USD",9
"NWSA","NEWS CORP   CLASS A","65249B109","BBGVT40",0.000220628115406526,"-",4551120,"USD",9
"PNW","PINNACLE WEST CAPITAL","723484101","2048804",0.000218486774905959,"-",1339835,"USD",9
"MTCH","MATCH GROUP INC","57667L107","BK80XH9",0.000212653122981518,"-",3238481,"USD",9
"MKTX","MARKETAXESS HOLDINGS INC","57060D108","B03Q9D0",0.000210521788744972,"-",448076,"USD",9
"CRL","CHARLES RIVER LABORATORIES","159864107","2604336",0.000208960811557643,"-",609374,"USD",9
"AOS","SMITH (A.O.) CORP","831865209","2816023",0.000207810091195189,"-",1463986,"USD",9
"TPR","TAPESTRY INC","876030107","BF09HX3",0.000205638731902558,"-",2732755,"USD",9
"HRL","HORMEL FOODS CORP","440452100","2437264",0.000203657491626333,"-",3449111,"USD",9
"ALB","ALBEMARLE CORP","012653101","2046853",0.000200215336802992,"-",1401126,"USD",9
"INCY","INCYTE CORP","45337C102","2471950",0.00019885448489609,"-",1752567,"USD",9
"LW","LAMB WESTON HOLDINGS INC","513272104","BDQZFJ3",0.000197263488916697,"-",1713493,"USD",9
"HSIC","HENRY SCHEIN INC","806407102","2416962",0.000195802574369581,"-",1559579,"USD",9
"APA","APA CORP","03743Q108","BNNF1C1",0.000195002073247874,"-",4293662,"USD",9
"GL","GLOBE LIFE INC","37959E102","BK6YKG1",0.000192260356906027,"-",1020686,"USD",9
"MGM","MGM RESORTS INTERNATIONAL","552953101","2547419",0.000190679367190655,"-",2991959,"USD",9
"GNRC","GENERAC HOLDINGS INC","368736104","B6197Q2",0.000190028960029268,"-",732389,"USD",9
"DAY","DAYFORCE INC","15677J108","BFX1V56",0.000189308509019731,"-",1828488,"USD",9
"HAS","HASBRO INC","418056107","2414580",0.000187607444136104,"-",1522180,"USD",9
"FRT","FEDERAL REALTY INVS TRUST","313745101","BN7P9B2",0.000186806943014396,"-",875210,"USD",9
"BF-B","BROWN FORMAN CORP CLASS B","115637209","2146838",0.000182144023980452,"-",2156742,"USD",9
"MOS","MOSAIC CO/THE","61945C103","B3NPHP6",0.000177881355507361,"-",3894847,"USD",9
"DVA","DAVITA INC","23918K108","2898087",0.000175960152815264,"-",642635,"USD",9
"PAYC","PAYCOM SOFTWARE INC","70432V102","BL95MY0",0.000173558649450142,"-",581323,"USD",9
"FMC","FMC CORP","302491303","2328603",0.000166924496403994,"-",1499832,"USD",9
"BWA","BORGWARNER INC","099724106","2111955",0.000166764396179652,"-",2782980,"USD",9
"MHK","MOHAWK INDUSTRIES INC","608190104","2598699",0.000166494227051076,"-",612543,"USD",9
"CZR","CAESARS ENTERTAINMENT INC","12769G100","BMWWGB0",0.000166354139354777,"-",2535605,"USD",9
"WYNN","WYNN RESORTS LTD","983134107","2963811",0.000160330368413931,"-",1143883,"USD",9
"AAL","AMERICAN AIRLINES GROUP INC","02376R102","BCV7KT2",0.000159359760803861,"-",7793517,"USD",9
"NCLH","NORWEGIAN CRUISE LINE HOLDIN","G66721104","B9CGTC3",0.000157938871312831,"-",4952112,"USD",9
"IVZ","INVESCO LTD","G491BT108","B28XP76",0.000156187775109096,"-",5379833,"USD",9
"RL","RALPH LAUREN CORP","751212101","B4V9661",0.000149893835039673,"-",473544,"USD",9
"BIO","BIO RAD LABORATORIES A","090572207","2098508",0.000146611780440674,"-",248999,"USD",9
"WBA","WALGREENS BOOTS ALLIANCE INC","931427108","BTN1Y44",0.000139307207705095,"-",8579328,"USD",9
"BBWI","BATH + BODY WORKS INC","070830104","BNNTGJ5",0.000136325341026736,"-",2716075,"USD",9
"ETSY","ETSY INC","29786A106","BWTN5N1",0.000136075184426203,"-",1426234,"USD",9
"BEN","FRANKLIN RESOURCES INC","354613101","2350684",0.000119985111879888,"-",3367661,"USD",9
"PARA","PARAMOUNT GLOBAL CLASS B","92556H206","BKTNTR9",0.000108367839351112,"-",5767439,"USD",10
"NWS","NEWS CORP   CLASS B","65249B208","BBGVT51",6.9513516156249e-05,"-",1379896,"USD",10
